Simulation Iteration Time Var1 Var2
1.00000 0.00000 0.00000 100.000 100.000
2.00000 0.00000 0.00000 100.000 100.000
3.00000 0.00000 0.00000 100.000 100.000
4.00000 0.00000 0.00000 100.000 100.000
5.00000 0.00000 0.00000 100.000 100.000
6.00000 0.00000 0.00000 100.000 100.000
7.00000 0.00000 0.00000 100.000 100.000
8.00000 0.00000 0.00000 100.000 100.000
9.00000 0.00000 0.00000 100.000 100.000
10.0000 0.00000 0.00000 100.000 100.000
1.00000 0.00000 0.00113383 100.000 99.0000
2.00000 0.00000 0.00111777 100.000 99.0000
3.00000 0.00000 0.0104367 99.0000 101.000
4.00000 0.00000 0.00278568 100.000 99.0000
5.00000 0.00000 0.00113331 100.000 99.0000
6.00000 0.00000 0.00484808 100.000 99.0000
7.00000 0.00000 0.00449594 100.000 99.0000
8.00000 0.00000 0.00452176 100.000 99.0000
9.00000 0.00000 0.00166586 100.000 99.0000
10.0000 0.00000 0.00686100 100.000 99.0000
1.00000 1.00000 0.00361344 100.000 98.0000
2.00000 1.00000 0.00250587 100.000 98.0000
3.00000 1.00000 0.0156308 98.0000 102.000
4.00000 1.00000 0.00435255 100.000 98.0000
5.00000 1.00000 0.00224248 100.000 98.0000
6.00000 1.00000 0.00557304 100.000 98.0000
7.00000 1.00000 0.00652305 99.0000 100.000
8.00000 1.00000 0.00878305 99.0000 100.000
9.00000 1.00000 0.00271009 99.0000 100.000
10.0000 1.00000 0.0125482 100.000 98.0000
1.00000 2.00000 0.00400820 100.000 97.0000
2.00000 2.00000 0.00911034 100.000 97.0000
3.00000 2.00000 0.0161361 98.0000 101.000
4.00000 2.00000 0.00529048 99.0000 99.0000
5.00000 2.00000 0.00381091 100.000 97.0000
6.00000 2.00000 0.00612538 99.0000 99.0000
7.00000 2.00000 0.0102235 99.0000 99.0000
8.00000 2.00000 0.00992822 99.0000 99.0000
9.00000 2.00000 0.00478977 98.0000 101.000
10.0000 2.00000 0.0363572 100.000 97.0000
1.00000 3.00000 0.0114421 100.000 96.0000
2.00000 3.00000 0.0110214 100.000 96.0000
3.00000 3.00000 0.0178260 97.0000 102.000
4.00000 3.00000 0.00560874 98.0000 100.000
5.00000 3.00000 0.00751463 100.000 96.0000
6.00000 3.00000 0.00999185 99.0000 98.0000
7.00000 3.00000 0.0121092 99.0000 98.0000
8.00000 3.00000 0.0104783 98.0000 100.000
9.00000 3.00000 0.00831096 97.0000 102.000
10.0000 3.00000 0.0393601 99.0000 98.0000
1.00000 4.00000 0.0146151 100.000 95.0000
2.00000 4.00000 0.0127685 99.0000 97.0000
3.00000 4.00000 0.0192593 96.0000 103.000
4.00000 4.00000 0.00828030 98.0000 99.0000
5.00000 4.00000 0.00790706 100.000 95.0000
6.00000 4.00000 0.0121831 99.0000 97.0000
7.00000 4.00000 0.0135574 98.0000 99.0000
