Simulation Iteration Time Var1 Var2
1.00000 0.00000 0.00000 1000.00 40.0000
2.00000 0.00000 0.00000 1000.00 40.0000
3.00000 0.00000 0.00000 1000.00 40.0000
4.00000 0.00000 0.00000 1000.00 40.0000
5.00000 0.00000 0.00000 1000.00 40.0000
6.00000 0.00000 0.00000 1000.00 40.0000
7.00000 0.00000 0.00000 1000.00 40.0000
8.00000 0.00000 0.00000 1000.00 40.0000
9.00000 0.00000 0.00000 1000.00 40.0000
10.0000 0.00000 0.00000 1000.00 40.0000
1.00000 0.00000 0.0462820 1001.00 39.0000
2.00000 0.00000 0.00883370 1001.00 39.0000
3.00000 0.00000 0.0332038 1001.00 39.0000
4.00000 0.00000 0.00462019 1001.00 39.0000
5.00000 0.00000 0.00227939 1000.00 39.0000
6.00000 0.00000 0.114708 1001.00 39.0000
7.00000 0.00000 0.0237102 1000.00 39.0000
8.00000 0.00000 0.00422688 1000.00 39.0000
9.00000 0.00000 0.0221049 1000.00 39.0000
10.0000 0.00000 0.0291120 1001.00 39.0000
1.00000 1.00000 0.0507381 1002.00 38.0000
2.00000 1.00000 0.0228053 1002.00 38.0000
3.00000 1.00000 0.0501633 1002.00 38.0000
4.00000 1.00000 0.00483896 1002.00 38.0000
5.00000 1.00000 0.0183464 1000.00 38.0000
6.00000 1.00000 0.127825 1002.00 38.0000
7.00000 1.00000 0.0468826 1001.00 38.0000
8.00000 1.00000 0.0240473 1000.00 38.0000
9.00000 1.00000 0.0693407 1000.00 38.0000
10.0000 1.00000 0.102073 1001.00 38.0000
1.00000 2.00000 0.126739 1002.00 37.0000
2.00000 2.00000 0.0571905 1003.00 37.0000
3.00000 2.00000 0.0846261 1003.00 37.0000
4.00000 2.00000 0.0437854 1002.00 37.0000
5.00000 2.00000 0.0917985 1001.00 37.0000
6.00000 2.00000 0.204934 1002.00 37.0000
7.00000 2.00000 0.103761 1001.00 37.0000
8.00000 2.00000 0.0538682 1001.00 37.0000
9.00000 2.00000 0.121058 1001.00 37.0000
10.0000 2.00000 0.108061 1001.00 37.0000
1.00000 3.00000 0.143085 1003.00 36.0000
