TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,191,191,1,Galápagos Islands,Îles Galápagos,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(vii)(viii)(ix)(x),2,0,138850.038133925,140665.14,146962.025607102,Not Reported,0,Inscribed,1978,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,Not Reported,ECU,ECU,Not Applicable,Not Applicable
Polygon,10708,10708,1,Archipielágo de Colón (Galápagos),Archipielágo de Colón (Galápagos),UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,2,140000,138849.796004557,147618.44,146678.594473626,Not Reported,0,Designated,1984,Collaborative governance,State,Galapagos National Park Service / Charles Darwin Research Station,Not Reported,State Verified,560,EC-W,ECU,ECU,Not Applicable,Not Applicable
Polygon,166741,166741,1,Reserva Biológica Limoncocha,Reserva Biológica Limoncocha,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(ii)(iii)(vii),0,0,0,46.13,28.3120025432063,Not Applicable,0,Designated,1998,Not Reported,Not Reported,Not Reported,Management plan is not implented and not available,State Verified,1856,EC-U,ECU,ECU,Not Applicable,Not Applicable
Polygon,29807,29807,1,Zona Marina Parque Nacional Machalilla,Zona Marina Parque Nacional Machalilla,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(ii)(iii)(iv),1,0,67.4437322251068,144.3,540.682448844434,Not Reported,0,Designated,1990,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,EC-M,ECU,ECU,Not Applicable,Not Applicable
Polygon,29808,29808,1,Manglares Churute,Manglares Churute,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(iv),0,0,40.0908555849187,350.42,450.430348074461,Not Applicable,0,Designated,1990,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,EC-G,ECU,ECU,Not Applicable,Not Applicable
Polygon,900789,900789,1,Parque Nacional Cajas,Parque Nacional Cajas,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv),0,0,0,294.77,294.648324504524,Not Applicable,0,Designated,2002,Not Reported,Not Reported,Not Reported,Management plan is not implented and not available,State Verified,1856,EC-A,ECU,ECU,Not Applicable,Not Applicable
Polygon,9614,9614,1,Sangay National Park,Parc national Sangay,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(vii)(viii)(ix)(x),0,0,0,2719.25,2526.76098927651,Not Applicable,0,Inscribed,1983,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,EC-S,ECU,ECU,Not Applicable,Not Applicable
Polygon,555543093,555543093,1,La Tembladera,La Tembladera,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(ii)(iii)(iv),0,0,0,14.71,14.6402236193229,Not Applicable,0,Designated,2011,Not Reported,Not Reported,Ministerio del Ambiente,Management plan is not implented and not available,State Verified,1856,EC-O,ECU,ECU,Not Applicable,Not Applicable
Polygon,900687,900687,1,Refugio de Vida Silvestre Isla Santa Clara,Refugio de Vida Silvestre Isla Santa Clara,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(v),1,0,10.1872085037293,0.46,11.4280132092328,Not Reported,0,Designated,2002,Not Reported,Not Reported,Ministerio del Ambiente,Management plan is not implented and not available,State Verified,1856,EC-O,ECU,ECU,Not Applicable,Not Applicable
Polygon,555637343,555637343,1,Complejo de Humedales Cuyabeno Lagartococha Yasuní,Complejo de Humedales Cuyabeno Lagartococha Yasuní,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,II,(ii)(iii),0,0,0,7736.685,7753.87801046194,Not Applicable,0,Designated,2017,Not Reported,State,"Administración del Parque Nacional Yasuní, Dirección Provincial de Ambiente de Orellana, Ministerio del Ambiente Ecuador",No,State Verified,1856,Not Reported,ECU,ECU,Not Applicable,Not Applicable
